,transcript_ID
0,ENST00000545294
1,ENST00000538489
2,ENST00000489294
3,ENST00000375759
4,ENST00000478691
5,ENST00000374616
6,ENST00000374612
7,ENST00000302271
8,ENST00000606561
9,ENST00000427764
10,ENST00000463552
11,ENST00000470941
12,ENST00000476451
13,ENST00000478890
14,ENST00000593639
15,ENST00000373830
16,ENST00000480930
17,ENST00000491577
18,ENST00000484775
19,ENST00000424085
20,ENST00000257075
21,ENST00000373747
22,ENST00000525843
23,ENST00000426105
24,ENST00000498419
25,ENST00000440538
26,ENST00000373741
27,ENST00000373742
28,ENST00000526215
29,ENST00000525948
30,ENST00000480602
31,ENST00000524516
32,ENST00000546109
33,ENST00000615916
34,ENST00000616393
35,ENST00000616859
36,ENST00000618216
37,ENST00000344147
38,ENST00000479629
39,ENST00000373714
40,ENST00000627541
41,ENST00000470018
42,ENST00000448907
43,ENST00000371827
44,ENST00000357083
45,ENST00000371824
46,ENST00000371823
47,ENST00000371821
48,ENST00000371819
49,ENST00000294428
50,ENST00000371072
51,ENST00000482253
52,ENST00000609116
53,ENST00000460706
54,ENST00000370197
55,ENST00000370198
56,ENST00000476419
57,ENST00000426398
58,ENST00000524631
59,ENST00000533099
60,ENST00000423855
61,ENST00000533834
62,ENST00000524641
63,ENST00000324862
64,ENST00000467329
65,ENST00000525790
66,ENST00000368827
67,ENST00000440583
68,ENST00000368825
69,ENST00000368824
70,ENST00000368823
71,ENST00000368822
72,ENST00000458431
73,ENST00000526413
74,ENST00000484421
75,ENST00000486986
76,ENST00000526378
77,ENST00000494725
78,ENST00000530202
79,ENST00000368482
80,ENST00000368480
81,ENST00000479937
82,ENST00000258349
83,ENST00000367696
84,ENST00000400968
85,ENST00000432079
86,ENST00000415442
87,ENST00000460715
88,ENST00000506303
89,ENST00000367446
90,ENST00000367443
91,ENST00000367444
92,ENST00000367445
93,ENST00000367441
94,ENST00000432282
95,ENST00000453771
96,ENST00000367210
97,ENST00000638800
98,ENST00000367214
99,ENST00000639812
100,ENST00000367212
101,ENST00000332127
102,ENST00000495527
103,ENST00000640465
104,ENST00000408888
105,ENST00000447801
106,ENST00000474086
107,ENST00000473118
108,ENST00000240185
109,ENST00000639083
110,ENST00000639599
111,ENST00000629725
112,ENST00000439080
113,ENST00000613864
114,ENST00000476201
115,ENST00000472476
116,ENST00000621715
117,ENST00000315091
118,ENST00000473869
119,ENST00000638264
120,ENST00000616545
121,ENST00000621790
122,ENST00000622057
123,ENST00000617172
124,ENST00000618606
125,ENST00000611963
126,ENST00000620632
127,ENST00000619555
128,ENST00000610369
129,ENST00000614494
130,ENST00000477447
131,ENST00000620505
132,ENST00000621573
133,ENST00000611008
134,ENST00000613177
135,ENST00000496840
136,ENST00000617757
137,ENST00000480464
138,ENST00000317869
139,ENST00000471538
140,ENST00000438066
141,ENST00000442985
142,ENST00000487496
143,ENST00000464516
144,ENST00000476660
145,ENST00000490652
146,ENST00000471693
147,ENST00000323848
148,ENST00000466910
149,ENST00000468822
150,ENST00000600523
151,ENST00000462710
152,ENST00000374389
153,ENST00000490543
154,ENST00000479034
155,ENST00000447431
156,ENST00000596378
157,ENST00000494934
158,ENST00000495561
159,ENST00000485441
160,ENST00000470243
161,ENST00000496882
162,ENST00000461768
163,ENST00000485541
164,ENST00000488317
165,ENST00000489130
166,ENST00000474843
167,ENST00000495995
168,ENST00000411406
169,ENST00000464880
170,ENST00000497790
171,ENST00000495215
172,ENST00000464093
173,ENST00000474884
174,ENST00000542507
175,ENST00000373812
176,ENST00000541996
177,ENST00000478283
178,ENST00000496288
179,ENST00000475796
180,ENST00000476976
181,ENST00000468863
182,ENST00000530669
183,ENST00000529846
184,ENST00000525997
185,ENST00000527498
186,ENST00000498627
187,ENST00000471894
188,ENST00000490546
189,ENST00000532678
190,ENST00000526128
191,ENST00000531867
192,ENST00000327300
193,ENST00000307714
194,ENST00000492989
195,ENST00000484270
196,ENST00000471991
197,ENST00000468598
198,ENST00000460428
199,ENST00000470472
200,ENST00000466745
201,ENST00000466213
202,ENST00000490668
203,ENST00000485365
204,ENST00000485454
205,ENST00000357214
206,ENST00000476041
207,ENST00000315732
208,ENST00000489912
209,ENST00000373087
210,ENST00000640233
211,ENST00000472312
212,ENST00000471012
213,ENST00000482028
214,ENST00000492468
215,ENST00000437136
216,ENST00000468476
217,ENST00000372862
218,ENST00000372858
219,ENST00000372857
220,ENST00000372856
221,ENST00000530186
222,ENST00000421687
223,ENST00000484555
224,ENST00000525045
225,ENST00000527718
226,ENST00000477556
227,ENST00000461578
228,ENST00000483770
229,ENST00000525669
230,ENST00000470443
231,ENST00000513632
232,ENST00000525751
233,ENST00000474378
234,ENST00000529216
235,ENST00000492519
236,ENST00000451091
237,ENST00000531243
238,ENST00000485507
239,ENST00000324379
240,ENST00000356511
241,ENST00000456578
242,ENST00000495526
243,ENST00000482751
244,ENST00000497370
245,ENST00000470213
246,ENST00000372835
247,ENST00000372830
248,ENST00000474804
249,ENST00000475350
250,ENST00000480169
251,ENST00000467741
252,ENST00000321358
253,ENST00000332220
254,ENST00000436427
255,ENST00000467957
256,ENST00000372090
257,ENST00000477731
258,ENST00000471337
259,ENST00000495703
260,ENST00000460057
261,ENST00000463650
262,ENST00000494555
263,ENST00000492299
264,ENST00000474675
265,ENST00000418058
266,ENST00000370920
267,ENST00000477096
268,ENST00000254821
269,ENST00000487510
270,ENST00000479947
271,ENST00000473260
272,ENST00000611683
273,ENST00000483894
274,ENST00000480673
275,ENST00000474632
276,ENST00000489495
277,ENST00000488814
278,ENST00000492405
279,ENST00000492724
280,ENST00000294623
281,ENST00000370768
282,ENST00000370767
283,ENST00000487684
284,ENST00000470287
285,ENST00000421641
286,ENST00000321792
287,ENST00000399794
288,ENST00000413769
289,ENST00000459735
290,ENST00000476783
291,ENST00000492905
292,ENST00000462433
293,ENST00000531883
294,ENST00000527062
295,ENST00000525323
296,ENST00000532117
297,ENST00000369784
298,ENST00000602849
299,ENST00000487146
300,ENST00000618772
301,ENST00000617047
302,ENST00000339438
303,ENST00000610726
304,ENST00000438362
305,ENST00000358528
306,ENST00000261443
307,ENST00000530886
308,ENST00000369530
309,ENST00000483407
310,ENST00000534699
311,ENST00000483030
312,ENST00000530784
313,ENST00000529046
314,ENST00000525132
315,ENST00000534389
316,ENST00000525878
317,ENST00000525970
318,ENST00000533818
319,ENST00000524652
320,ENST00000634130
321,ENST00000632040
322,ENST00000633781
323,ENST00000583313
324,ENST00000632555
325,ENST00000369307
326,ENST00000498663
327,ENST00000484825
328,ENST00000634161
329,ENST00000271628
330,ENST00000457312
331,ENST00000496202
332,ENST00000467514
333,ENST00000493553
334,ENST00000476970
335,ENST00000470824
336,ENST00000463553
337,ENST00000468714
338,ENST00000462871
339,ENST00000532414
340,ENST00000442784
341,ENST00000282169
342,ENST00000367694
343,ENST00000479099
344,ENST00000531594
345,ENST00000484867
346,ENST00000469214
347,ENST00000512587
348,ENST00000466470
349,ENST00000461980
350,ENST00000492823
351,ENST00000480354
352,ENST00000488411
353,ENST00000483099
354,ENST00000475035
355,ENST00000470492
356,ENST00000414487
357,ENST00000469451
358,ENST00000367208
359,ENST00000366835
360,ENST00000496025
361,ENST00000482753
362,ENST00000487971
363,ENST00000474478
364,ENST00000537914
365,ENST00000483779
366,ENST00000436966
367,ENST00000487817
368,ENST00000495224
369,ENST00000476261
370,ENST00000468751
371,ENST00000429912
372,ENST00000475960
373,ENST00000486751
374,ENST00000485019
375,ENST00000494621
376,ENST00000466975
377,ENST00000410075
378,ENST00000466330
379,ENST00000474820
380,ENST00000348849
381,ENST00000491781
382,ENST00000477486
383,ENST00000338086
384,ENST00000319801
385,ENST00000361078
386,ENST00000403432
387,ENST00000442400
388,ENST00000420234
389,ENST00000429419
390,ENST00000432105
391,ENST00000446940
392,ENST00000263736
393,ENST00000475073
394,ENST00000264447
395,ENST00000409544
396,ENST00000487638
397,ENST00000409407
398,ENST00000483421
399,ENST00000493576
400,ENST00000461991
401,ENST00000472758
402,ENST00000488126
403,ENST00000409871
404,ENST00000343936
405,ENST00000331426
406,ENST00000392753
407,ENST00000409075
408,ENST00000409289
409,ENST00000409972
410,ENST00000424000
411,ENST00000616198
412,ENST00000286070
413,ENST00000455903
414,ENST00000424099
415,ENST00000464647
416,ENST00000461347
417,ENST00000391976
418,ENST00000310931
419,ENST00000428482
420,ENST00000441124
421,ENST00000413241
422,ENST00000423693
423,ENST00000425989
424,ENST00000420451
425,ENST00000417540
426,ENST00000462130
427,ENST00000496569
428,ENST00000440577
429,ENST00000424110
430,ENST00000457308
431,ENST00000452978
432,ENST00000622155
433,ENST00000620517
434,ENST00000477981
435,ENST00000497514
436,ENST00000442331
437,ENST00000474104
438,ENST00000492042
439,ENST00000479345
440,ENST00000619207
441,ENST00000460072
442,ENST00000505747
443,ENST00000378727
444,ENST00000530522
445,ENST00000530095
446,ENST00000510781
447,ENST00000527689
448,ENST00000403537
449,ENST00000531687
450,ENST00000282388
451,ENST00000490133
452,ENST00000493649
453,ENST00000461805
454,ENST00000447944
455,ENST00000415374
456,ENST00000260604
457,ENST00000481066
458,ENST00000415489
459,ENST00000429805
460,ENST00000625249
461,ENST00000263657
462,ENST00000430742
463,ENST00000488728
464,ENST00000303577
465,ENST00000433529
466,ENST00000415783
467,ENST00000282574
468,ENST00000445587
469,ENST00000486392
470,ENST00000495774
471,ENST00000454815
472,ENST00000468787
473,ENST00000482876
474,ENST00000497672
475,ENST00000477415
476,ENST00000496096
477,ENST00000484065
478,ENST00000416149
479,ENST00000474699
480,ENST00000474809
481,ENST00000477044
482,ENST00000361692
483,ENST00000496452
484,ENST00000481650
485,ENST00000272348
486,ENST00000429728
487,ENST00000482975
488,ENST00000438261
489,ENST00000449935
490,ENST00000413456
491,ENST00000454893
492,ENST00000480370
493,ENST00000488400
494,ENST00000437658
495,ENST00000464375
496,ENST00000475743
497,ENST00000454278
498,ENST00000455226
499,ENST00000487707
500,ENST00000417778
501,ENST00000454122
502,ENST00000601581
503,ENST00000486494
504,ENST00000491843
505,ENST00000494241
506,ENST00000492262
507,ENST00000460310
508,ENST00000409573
509,ENST00000272570
510,ENST00000615791
511,ENST00000476902
512,ENST00000474234
513,ENST00000466259
514,ENST00000464305
515,ENST00000495264
516,ENST00000476511
517,ENST00000502881
518,ENST00000409092
519,ENST00000474147
520,ENST00000475103
521,ENST00000490637
522,ENST00000477965
523,ENST00000464200
524,ENST00000492283
