,transcript_ID
0,ENST00000474884
1,ENST00000542507
2,ENST00000373812
3,ENST00000541996
4,ENST00000478283
5,ENST00000496288
6,ENST00000475796
7,ENST00000476976
8,ENST00000468863
9,ENST00000355082
10,ENST00000373586
11,ENST00000489353
12,ENST00000471486
13,ENST00000483517
14,ENST00000474371
15,ENST00000344157
16,ENST00000355665
17,ENST00000579690
18,ENST00000507529
19,ENST00000506175
20,ENST00000505251
21,ENST00000510746
22,ENST00000161863
23,ENST00000503857
24,ENST00000515883
25,ENST00000514720
26,ENST00000506333
27,ENST00000512600
28,ENST00000507567
29,ENST00000431643
30,ENST00000360876
31,ENST00000413917
32,ENST00000397011
33,ENST00000463229
34,ENST00000463026
35,ENST00000468250
36,ENST00000466199
37,ENST00000475415
38,ENST00000468611
39,ENST00000465670
40,ENST00000494658
41,ENST00000476233
42,ENST00000354667
43,ENST00000618183
44,ENST00000360787
45,ENST00000463181
46,ENST00000356674
47,ENST00000490912
48,ENST00000495810
49,ENST00000617200
50,ENST00000623280
51,ENST00000539294
52,ENST00000621957
53,ENST00000517371
54,ENST00000615676
55,ENST00000621413
56,ENST00000612880
57,ENST00000617952
58,ENST00000619337
59,ENST00000621890
60,ENST00000613853
61,ENST00000621820
62,ENST00000518634
63,ENST00000522088
64,ENST00000521861
65,ENST00000611080
66,ENST00000276682
67,ENST00000520289
68,ENST00000518949
69,ENST00000522282
70,ENST00000519428
71,ENST00000518373
72,ENST00000523674
73,ENST00000522352
74,ENST00000220849
75,ENST00000519030
76,ENST00000521614
77,ENST00000519517
78,ENST00000519627
79,ENST00000519413
80,ENST00000522445
81,ENST00000523646
82,ENST00000521440
83,ENST00000518442
84,ENST00000518100
85,ENST00000522887
86,ENST00000521297
87,ENST00000518345
88,ENST00000518995
89,ENST00000522800
90,ENST00000518034
91,ENST00000517974
92,ENST00000522453
93,ENST00000519046
94,ENST00000520813
95,ENST00000477706
96,ENST00000375304
97,ENST00000168216
98,ENST00000375298
99,ENST00000495986
100,ENST00000354631
101,ENST00000377799
102,ENST00000495022
103,ENST00000488990
104,ENST00000313936
105,ENST00000436968
106,ENST00000424636
107,ENST00000525762
108,ENST00000452380
109,ENST00000486947
110,ENST00000451253
111,ENST00000479046
112,ENST00000369144
113,ENST00000541549
114,ENST00000462527
115,ENST00000533626
116,ENST00000309828
117,ENST00000531329
118,ENST00000530219
119,ENST00000528763
120,ENST00000531572
121,ENST00000640290
122,ENST00000528653
123,ENST00000532882
124,ENST00000531921
125,ENST00000531120
126,ENST00000531186
127,ENST00000525782
128,ENST00000524896
129,ENST00000532444
130,ENST00000323213
131,ENST00000524711
132,ENST00000530026
133,ENST00000532054
134,ENST00000533439
135,ENST00000526267
136,ENST00000525054
137,ENST00000257829
138,ENST00000532503
139,ENST00000531159
140,ENST00000531723
141,ENST00000529523
142,ENST00000527971
143,ENST00000615292
144,ENST00000530017
145,ENST00000532555
146,ENST00000534509
147,ENST00000333924
148,ENST00000550861
149,ENST00000336053
150,ENST00000554969
151,ENST00000556142
152,ENST00000554455
153,ENST00000449098
154,ENST00000430246
155,ENST00000553753
156,ENST00000555914
157,ENST00000555309
158,ENST00000557442
159,ENST00000556628
160,ENST00000555883
161,ENST00000556513
162,ENST00000557201
163,ENST00000553300
164,ENST00000556897
165,ENST00000420743
166,ENST00000554539
167,ENST00000554383
168,ENST00000555215
169,ENST00000555137
170,ENST00000554891
171,ENST00000556226
172,ENST00000555176
173,ENST00000553614
174,ENST00000553444
175,ENST00000557157
176,ENST00000555585
177,ENST00000554417
178,ENST00000557336
179,ENST00000557768
180,ENST00000557033
181,ENST00000555127
182,ENST00000539760
183,ENST00000298717
184,ENST00000544500
185,ENST00000396522
186,ENST00000537163
187,ENST00000543235
188,ENST00000544248
189,ENST00000536201
190,ENST00000542054
191,ENST00000538267
192,ENST00000377543
193,ENST00000367606
194,ENST00000545319
195,ENST00000545788
196,ENST00000216489
197,ENST00000557057
198,ENST00000555100
199,ENST00000554097
200,ENST00000261868
201,ENST00000424492
202,ENST00000535391
203,ENST00000558227
204,ENST00000558053
205,ENST00000536248
206,ENST00000558353
207,ENST00000566501
208,ENST00000636491
209,ENST00000636218
210,ENST00000471389
211,ENST00000637001
212,ENST00000570395
213,ENST00000636992
214,ENST00000637969
215,ENST00000636030
216,ENST00000637562
217,ENST00000637845
218,ENST00000464071
219,ENST00000640179
220,ENST00000563011
221,ENST00000612285
222,ENST00000431610
223,ENST00000460382
224,ENST00000463855
225,ENST00000635892
226,ENST00000268349
227,ENST00000331666
228,ENST00000395587
229,ENST00000569690
230,ENST00000564243
231,ENST00000566866
232,ENST00000563139
233,ENST00000568426
234,ENST00000565099
235,ENST00000565932
236,ENST00000564839
237,ENST00000566519
238,ENST00000569005
239,ENST00000566086
240,ENST00000637062
241,ENST00000472835
242,ENST00000636091
243,ENST00000637049
244,ENST00000221801
245,ENST00000594443
246,ENST00000601274
247,ENST00000597634
248,ENST00000598417
249,ENST00000599159
250,ENST00000594309
251,ENST00000599134
252,ENST00000253108
253,ENST00000593054
254,ENST00000590158
255,ENST00000589454
256,ENST00000587146
257,ENST00000588709
258,ENST00000589009
259,ENST00000593066
260,ENST00000589674
261,ENST00000593095
262,ENST00000587993
263,ENST00000590940
264,ENST00000587681
265,ENST00000587168
266,ENST00000592485
267,ENST00000614624
268,ENST00000593149
269,ENST00000248342
270,ENST00000586932
271,ENST00000593062
272,ENST00000538434
273,ENST00000588934
274,ENST00000545173
275,ENST00000588422
276,ENST00000586513
277,ENST00000591409
278,ENST00000592558
279,ENST00000588299
280,ENST00000590134
281,ENST00000595545
282,ENST00000593503
283,ENST00000597224
284,ENST00000372409
285,ENST00000616084
286,ENST00000479348
287,ENST00000370339
288,ENST00000370334
289,ENST00000412331
290,ENST00000624234
291,ENST00000381683
292,ENST00000477256
293,ENST00000406934
294,ENST00000482600
295,ENST00000450376
296,ENST00000216190
297,ENST00000478547
298,ENST00000462641
299,ENST00000405442
300,ENST00000426531
301,ENST00000458572
302,ENST00000462794
303,ENST00000455547
304,ENST00000457241
305,ENST00000432675
306,ENST00000402116
307,ENST00000496875
308,ENST00000439997
309,ENST00000476955
310,ENST00000414316
311,ENST00000436452
312,ENST00000451427
313,ENST00000464790
314,ENST00000460638
315,ENST00000615500
316,ENST00000613637
317,ENST00000627168
318,ENST00000628264
319,ENST00000627135
320,ENST00000629100
321,ENST00000625493
