,ENST00000477988.1,ENST00000561385.5,ENST00000284509.10,ENST00000262262.4,ENST00000598473.1,ENST00000378962.3,ENST00000515859.5,ENST00000507316.1,ENST00000537784.5,ENST00000611771.1,ENST00000592205.5,ENST00000233997.3,ENST00000367279.8,ENST00000309017.7,ENST00000468385.1,ENST00000304639.3,ENST00000381501.7,ENST00000376581.9,ENST00000373304.3,ENST00000393118.6,ENST00000531348.5,ENST00000216336.2,ENST00000257818.2,ENST00000215855.6,ENST00000281938.6,ENST00000304625.2,ENST00000282026.1,ENST00000261233.8,ENST00000448387.6,ENST00000359135.7,ENST00000381297.9,ENST00000427103.5,ENST00000367814.8,ENST00000527615.5,ENST00000430686.2,ENST00000264824.4,ENST00000241453.11,ENST00000380987.2,ENST00000346128.10,ENST00000400007.8,ENST00000245479.2,ENST00000355530.6,ENST00000633060.1,ENST00000620695.2,ENST00000612677.4,ENST00000554578.5,ENST00000293373.10,ENST00000563039.2,ENST00000360121.4
AML1,0.0,0.0013589183509810086,0.016990068836177354,0.03054908768427388,0.008996417759847344,0.020375504303272587,0.0,0.0,0.00956472898069939,0.004739288504189794,4.436041668439177e-05,0.001089153383842029,0.00957722374904117,0.004399917090071489,0.00666071029366048,0.012691284169567588,0.004877767696909405,0.0,0.0037783615240791655,0.0,0.0,0.007752747231968118,0.034790434850668406,2.2219120988410265e-05,0.0,0.051741389306698624,0.00276509829563962,0.01820579225987866,0.021514167360878748,0.0,0.03227367679364027,0.016888099583196182,0.027558237144756154,0.0015638304473909249,0.00262222087610809,0.0315553525826626,0.006449962266119424,0.0022322145806422016,0.0,0.0,0.0,0.006062552860207446,4.436041668439177e-05,0.0010879538757100444,0.01223966286295588,0.0027413895224561377,0.0116628487725819,0.0297416664000045,0.04484245013736034
AML2,0.0,0.005864118822085527,0.044451630239024376,0.0032146890415642917,0.0009020907668123923,0.047740041557842054,0.0,0.0,0.0002447656787113738,0.0017960449830863054,2.4173142817001857e-05,0.0,0.007026144220404409,0.0013417924102932138,0.00602980934800517,0.0016966021007541157,0.004829683006456931,0.0,0.028035151549636372,0.0,0.0,0.00206136872086581,0.056282655995370086,4.8431103678975654e-05,0.0,0.012796405675179348,0.0038354243551175266,0.01974714573285294,0.009476033017586177,0.0,0.07330689392976086,0.026716461737504,0.03977206382397939,0.002678254271907066,0.004416650190956006,0.06482499957268589,0.032750236375158434,0.016442652897768684,0.0,0.0,0.0,0.036577223369354865,2.4173142817001857e-05,0.0,0.010845570840944405,0.0044291470418313834,0.02234127352033014,0.021721075565811928,0.037348220958495694
AML3,0.0,0.0017664905370746993,0.025002854819780238,0.029718779671105273,0.008465207997701937,0.019462229920574687,0.0,0.0,0.01224768653759801,0.006377088110834016,6.415899427818996e-05,0.0007472365336909147,0.016813851889945,0.005692257544147459,0.009978749365497294,0.010150888546809542,0.007730229985966647,0.0,0.004423311166262203,0.0,0.0,0.004529245938524782,0.03409094789603901,0.0,0.0,0.04375821629201106,0.0035479634831360315,0.01888266303533183,0.033352160439651835,0.0,0.06064872894699495,0.017467161114361255,0.049665541590880435,0.0017463453089786116,0.0035538571101844303,0.044228897292592495,0.005409998415854222,0.001804520265872184,0.0,0.0,0.0,0.004440284365595402,6.415899427818996e-05,0.0007464135859665854,0.015478820597853302,0.0028287619363337145,0.01415620339565448,0.034845553078328054,0.056631405795611364
AML4,0.0,0.028152388115391922,0.04196139534632247,0.053341092569191284,0.004761137060869872,0.008499492546297015,0.0,0.0,0.00016874282292138394,0.016321138789632313,0.009076710467810473,0.01959162706739246,0.013371738662392796,0.0014724220506732492,0.0099924916897716,0.002177647763495706,0.022265082412734418,0.0,0.009713000341941166,0.0,0.0,0.033573487869836896,0.00936416941754452,0.0,0.0,0.0331054308807621,0.002695784996798497,0.014779136838710051,0.05071117763165027,0.0,0.017480090655051406,0.020495372457663155,0.0008366146984443138,0.0012543000257730112,0.001675575637107838,0.039914790008628735,0.056040564243018086,0.07287475383711867,0.0,0.0,4.748296173628752e-06,0.03945919625032786,0.009076710467810473,0.019570050385600175,0.016066662263392328,0.011022126745071395,0.03259820223503324,0.03323133130108242,0.04249161258274476
AML5,0.0,0.00363182897403816,0.0399609424574373,0.02416764379135809,0.005966940817635084,0.021420269744285653,0.0,0.0,0.0008571278396100574,0.014743770160627931,0.0006738427910580758,0.0045297678550505795,0.01693973299743132,0.005767955964623123,0.014954414296999865,0.011955950764507839,0.02501513494862063,0.0,0.006861991135750862,0.0,0.0,0.007234931813334562,0.030620312328864467,0.0,0.0,0.046628207981580565,0.004599148750781962,0.0189511373101817,0.05755842183502226,0.0,0.04518079338266792,0.05484247043793181,0.04449067279424064,0.001331127197484054,0.003814657509630616,0.09455849980371052,0.01520757392780577,0.006158926755960009,0.0,1.895763863294055e-05,0.0,0.006243476589476607,0.0006738427910580758,0.004524779123932682,0.018190786793616055,0.009014429160996013,0.01937256180971924,0.06640031096716952,0.10710409157448143
AML6,0.018406332941812226,0.009882809520451744,0.08044680677451686,0.060003134610586234,0.012235851192071875,0.01054871871163011,0.0,0.0,0.00031359885749262834,0.010185616440391185,0.0033739571183473665,0.005743100576111201,0.00957805809131362,0.003945261801870509,0.008708745652016717,0.009842275253607926,0.009532479447603381,0.0,0.015740823245423863,0.0,0.0,0.03999450461973641,0.015496345657883239,0.0,0.0,0.07145236190606273,0.007244384417976772,0.024773845574540494,0.029441843121787846,0.0,0.04948616159092333,0.045862047545324934,0.05354670933950583,0.0021181584317751154,0.0042462486226767585,0.06763488444925195,0.019729318189851526,0.008863809204229882,0.0,0.0,0.0,0.02225038329513689,0.0033739571183473665,0.005736775575476718,0.020822191151362128,0.007513977688271447,0.03081728460803417,0.048017384479611604,0.06570906005670737
AML7,0.0,0.010781676033091523,0.0860290174328547,0.057058500629361124,0.010399359466883248,0.012763123862542913,0.0,0.0,0.00020902164620791125,0.011982213529547514,0.0018689161172309586,0.003159790317460073,0.012442971726624357,0.003356720183220812,0.012161804197398646,0.003844539999670628,0.014350556299830867,0.0,0.016672617911029523,0.0,0.0,0.01589209094751455,0.026697308040174873,0.0,1.5024336865499988e-05,0.033532932219349366,0.006994008578434384,0.02436789041796299,0.03344059187348914,0.0,0.06596584217429186,0.04900578279970392,0.06588281144746946,0.0022018288723248225,0.005222313021665613,0.07583827722633069,0.020973872164719295,0.006582286425613093,0.0,0.0,0.0,0.02660473071889085,0.0018689161172309586,0.003156310372176527,0.01955053916885164,0.008910130678177957,0.033490076725213425,0.04394730019738293,0.06246046708856451
AML8,0.013735073803427497,0.003575972009638378,0.04412464901723464,0.02222789645616242,0.005717137319193171,0.008822025640482728,0.0,0.0,0.0014183994852635488,0.011085279799804148,0.0010022674987906813,0.0026046666970116093,0.016616704907668794,0.006044891711096775,0.01242758798425108,0.030026397453603998,0.008411372703437434,0.0,0.004995497212950297,0.0,0.0,0.01669547811335662,0.019648877805287675,0.0,0.0,0.09215852992271976,0.0033873661744939438,0.01865647873011189,0.039076272083648764,0.0,0.019799493546960985,0.05260436361253293,0.048497039816523674,0.0017882708437893843,0.00315535479267929,0.06814674024820071,0.01737526325368246,0.004834111005664218,0.0,3.992754012624272e-05,3.4940406521056974e-06,0.004741783603953659,0.0010022674987906813,0.0026017981213541075,0.02069774681155146,0.0055114156907424255,0.014377471464612303,0.06344966635582265,0.08903690865610311
AML9,0.0,0.004075076993435421,0.04165232560771626,0.020386227739064875,0.008282912489494218,0.007292521902503573,0.0,0.0,0.009725497818686658,0.016393513836743975,0.0064744742340228974,0.012148984050345805,0.015417568027035523,0.0056974133513262,0.012938115813466664,0.04173369551923975,0.007323100052777397,0.0,0.0064215891372793,0.0,0.0,0.045150982088977554,0.02741890359869288,0.0,0.0,0.27143818463848873,0.004679569926373401,0.020915626800405616,0.056649815348318776,8.56239369197239e-06,0.047695604048618424,0.047079264531536484,0.06802665165443779,0.0019980189248413457,0.005255871641444017,0.05310789420328035,0.027351254091791906,0.01058717949637862,0.0,0.0,0.0,0.012344305364392669,0.0064744742340228974,0.012135604111964366,0.026565647687344613,0.0107287361980248,0.01954862035065835,0.0666812720284062,0.08785811433208769
AML10,0.0,0.00499509969241369,0.04564274902884179,0.030822185246343635,0.01032412119195658,0.008222719894489404,0.0,0.0,0.009154736306719645,0.021622834561882104,0.0037008323482821204,0.006296895827852709,0.01648371753582749,0.0046266713873520165,0.014767160403879237,0.01292971355674406,0.015215531724859696,0.0,0.009603419148894567,0.0,0.0,0.023328368554944915,0.061568067902857605,0.0,0.0,0.09764710054203643,0.005316811411163202,0.022478010184307975,0.08038739236625751,2.8439819320099626e-05,0.05806316435390467,0.047541017909610954,0.06629725484343006,0.0017670360884860592,0.00663376354641676,0.07199843478133094,0.04103586287011437,0.013557883257248129,0.0,0.0,0.0,0.017648082148109732,0.0037008323482821204,0.006289960920553311,0.022385624837942347,0.009928477723777687,0.023534138608236298,0.06582514821574104,0.09739449453145306
