,gene_symbol
0,KIAA1024L
1,LACC1
2,SPTY2D1
3,H2BFS
4,ANKDD1B
5,ZNF705D
6,PYGL
7,MOBP
8,DNAJC11
9,DNASE2
10,IGF2BP3
11,PSMB4
12,RNF11
13,TMEM160
14,RSF1
15,MIS18BP1
16,OR4A47
17,TMC3
18,ZSWIM8
19,STXBP2
20,STAU1
21,COG4
22,INO80C
23,IGLV5-37
24,SGSM3
25,PHF8
26,TXNL1
27,EZR
28,TALDO1
29,GSTM4
30,MAPK12
31,BSDC1
32,KIR2DL4
33,CFAP36
34,OR51A2
35,C10orf53
36,RP11-468E2.2
37,AC002985.3
38,CD300LG
39,CPEB3
40,SCPEP1
41,IMPDH2
42,ORMDL1
43,KCNB2
44,HSD17B10
45,ARFIP2
46,TKFC
47,TRUB1
48,ANKRD63
49,TNFRSF21
50,TAS2R4
51,TPRG1
52,KRT3
53,CLDN25
54,OGFOD3
55,NMB
56,KIAA1109
57,C1RL
58,PSMD14
59,GSDMD
60,EIF1AY
61,MID2
62,TBX2
63,IQCK
64,IRX3
65,TRIM26
66,SHANK1
67,OR56A3
68,BRAT1
69,SPATA17
70,FARS2
71,ANKRD26
72,HYDIN
73,ANP32B
74,MTUS1
75,DIAPH1
76,CD9
77,DSCR3
78,XKR9
79,ZNHIT3
80,PSPH
81,MURC
82,TRAJ29
83,IRF6
84,FBXL15
85,HYOU1
86,IFT74
87,MIR452
88,PDSS2
89,CHCHD2
90,VASN
91,NHSL2
92,SLC15A4
93,ZSWIM7
94,ZNF665
95,RBM38
96,ARL8B
97,TAS2R39
98,AC213203.1
99,COX5B
100,GTPBP1
101,AGL
102,SPTBN1
103,SYT14
104,HMGN2
105,GATAD2B
106,ECSCR
107,ADAMTS1
108,LEXM
109,OR10T2
110,PIGT
111,RPL39
112,ANKS3
113,AC069368.3
114,GNAL
115,CH17-296N19.1
116,SCOC
117,CLINT1
118,GBP4
119,DHRS3
120,OR2AG2
121,TXNRD3NB
122,ANO3
123,MOB1B
124,BTBD17
125,NAGA
126,ANKRD34A
127,PCDH1
128,GPER1
129,SELE
130,DSC2
131,MIR4260
132,MBD5
133,DNAJC5B
134,P2RY2
135,ARHGAP42
136,TNFAIP8
137,ADAD1
138,SMAD6
139,MIR7109
140,FMO2
141,TICAM1
142,CSPG4
143,GLUD1
144,EFCAB2
145,DDX21
146,LRRC36
147,DSG1
148,WASF3
149,SLC12A8
150,GAB3
151,XRN2
152,SH2D1A
153,C17orf75
154,NFKBIZ
155,RAB9B
156,SERTAD3
157,MFSD2B
158,CIDEC
159,SLC25A10
160,ZNF879
161,GZMH
162,KPNA1
163,BICD2
164,OSBP2
165,ST3GAL1
166,TSPAN18
167,SCYL2
168,ITPKC
169,CLDN8
170,EHBP1
171,ACTBL2
172,STAM2
173,TBC1D7
174,GPT
175,MAPRE3
176,SSNA1
177,FABP12
178,SCAMP5
179,APOBEC3F
180,PDCD6IP
181,LRBA
182,OR8K5
183,REG3A
184,MIR6837
185,PKLR
186,SMR3B
187,UNC13D
188,ADGRG6
189,TRBV6-4
190,FMO1
191,PRRC1
192,LRRC42
193,OSBPL8
194,OR52A1
195,MYO1B
196,ICMT
197,GLI3
198,RP11-47I22.4
199,CHD8
200,MPV17
201,OR5AN1
202,PKD1
203,CENPO
204,ZNF705A
205,HFE2
206,SYNM
207,MMP9
